"Old Title","New Title"
"[INDEX] Kaiju No.8 - S01E01 [C9C4746A].mkv","1. The Man Who Became a Kaiju (怪獣になった男) - S01E01.mkv"
"[INDEX] Kaiju No.8 - S01E10 [136B0B88].mkv","10. Secret Revealed (曝露) - S01E10.mkv"
"[INDEX] Kaiju No.8 - S01E11 [9137F425].mkv","11. Kaiju No. 8 Captured (捕らわれた怪獣8号) - S01E11.mkv"
"[INDEX] Kaiju No.8 - S01E12 [9DEE8F3A].mkv","12. Kafka Hibino (日比野カフカ) - S01E12.mkv"
"[INDEX] Kaiju No.8 - S01E02 [0F2670C5].mkv","2. The Kaiju Who Defeats Kaiju (怪獣を倒す怪獣) - S01E02.mkv"
"[INDEX] Kaiju No.8 - S01E03 [F3782A7C].mkv","3. Revenge Match (リベンジマッチ) - S01E03.mkv"
"[INDEX] Kaiju No.8 - S01E04 [BF6E9AC9].mkv","4. Fortitude 9.8 (フォルティチュード9.8) - S01E04.mkv"
"[INDEX] Kaiju No.8 - S01E05 [8DC74AD0].mkv","5. Joining Up! (入隊!) - S01E05.mkv"
"[INDEX] Kaiju No.8 - S01E06 [9BC76B19].mkv","6. Sagamihara Neutralization Operation At Daybreak (夜明けの相模原討伐作戦) - S01E06.mkv"
"[INDEX] Kaiju No.8 - S01E07 [7E00D37A].mkv","7. Kaiju No. 9 (怪獣9号) - S01E07.mkv"
"[INDEX] Kaiju No.8 - S01E08 [D69303F2].mkv","8. Welcome to the Defense Force (防衛隊へようこそ) - S01E08.mkv"
"[INDEX] Kaiju No.8 - S01E09 [38A608F5].mkv","9. Raid on Tachikawa Base (立川基地襲撃) - S01E09.mkv"
